t,agent_id,accel,steering,x,y,yaw,vx,vy,yaw_rate
0.10000000000000007,0.0,-3.5,-0.036712235682019735,-116.32754600120396,158.41047289343717,2.6031488707006383,12.14741225063307,-0.07959185234506895,-0.07779734068167447
0.20000000000000015,0.0,-3.5,-0.03552795938157667,-117.34624613151006,159.04044093424974,2.5911535663818674,11.807161564440543,-0.14866169639356394,-0.15285233223324862
0.3000000000000002,0.0,-3.5,-0.04687942635878873,-118.32340978235449,159.6726682527348,2.572435739978188,11.467632904169268,-0.19760366214453806,-0.21831544224636942
0.4000000000000003,0.0,-3.5,-0.057283803200691354,-119.25597461891459,160.31051112556165,2.5476387474559505,11.125303689383157,-0.22379534407742044,-0.2735558573475378
0.5000000000000003,0.0,-3.5,-0.0466244996046855,-120.14412880324375,160.95227917146386,2.520983729945307,10.787010821531577,-0.17599247643856084,-0.25446771533543605
0.6000000000000004,0.0,-3.5,-0.0540832151760417,-120.98946066285635,161.59492459010656,2.4952705289750714,10.448294898389582,-0.17919920129418104,-0.25882848329278224
0.7000000000000005,0.0,-3.5,-0.0433807924081591,-121.79247578273737,162.2370089072208,2.471252645204502,10.112775647849006,-0.14918002278013678,-0.2205995524229244
0.8000000000000006,0.0,-3.5,-0.05230314777627683,-122.55460626870331,162.87591511971715,2.4490921565145003,9.77498048346502,-0.17792362653952862,-0.2241215070823755
0.9000000000000007,0.0,-3.5,-0.04309005513158713,-123.2761840501916,163.51022145932902,2.4281458996705902,9.43674691801604,-0.16639160380105578,-0.19485803125845733
1.0000000000000007,0.0,-3.5,-0.05431563049666867,-123.95850223156764,164.13750546511577,2.407828572778827,9.096844854900326,-0.2061077720823666,-0.21302747911868072
1.1000000000000008,0.0,-3.5,-0.04567649359218755,-124.60211722606087,164.7566821516374,2.3879784496164267,8.76107062264319,-0.18933498542233496,-0.1844626683553299
1.2000000000000008,0.0,-3.5,-0.0597576818112941,-125.20845466629247,165.3656912817183,2.3682217832248167,8.421695448980946,-0.23246234163333163,-0.21203705919611443
1.300000000000001,0.0,-3.5,-0.05109887238413297,-125.7776096780132,165.9639303203074,2.348461346690886,8.087124242506558,-0.21096017803913755,-0.1843331123360888
1.400000000000001,0.0,-3.5,-0.06847690986229342,-126.31099628628968,166.5494770876402,2.3284452344187816,7.747379831322116,-0.2564039738576506,-0.21859614546295833
1.500000000000001,0.0,-3.5,-0.0593961066300525,-126.80810620292004,167.12224994535057,2.307909231693513,7.413036322052083,-0.23470492978637508,-0.1932233603888256
1.6000000000000012,0.0,-3.5,-0.05064094276846067,-127.27449365534552,167.67727976205734,2.290705041219972,7.079857684565539,-0.19307278189545538,-0.15496326222210635
1.7000000000000013,0.0,-3.5,-0.07165561634752668,-127.70963298078476,168.21447554539392,2.273301664024406,6.7396369472964635,-0.24180442311796335,-0.19638472736379267
1.8000000000000014,0.0,-3.5,-0.06391078819276745,-128.11150235475768,168.7350681460136,2.25485898254394,6.4051052412164164,-0.23040291231846494,-0.17609440848090815
1.9000000000000015,0.0,-3.5,-0.05612581663102541,-128.48531883525092,169.2349968973871,2.239160628392237,6.072025599020991,-0.19584262663428673,-0.14417280839501373
2.0000000000000013,0.0,-3.5,-0.08042452019699436,-128.83040041362779,169.71429372598132,2.222748067337634,5.731427496434787,-0.24693390045194405,-0.18825216053891983
2.1000000000000014,0.0,-3.5,-0.07306451299836357,-129.14505459277763,170.17386611772096,2.2052748312809967,5.397617633716217,-0.22967240773822484,-0.16571850903304913
2.2000000000000015,0.0,-3.5,-0.06555990161940727,-129.43480776957563,170.60994479660727,2.190340964314037,5.064700840265392,-0.19636733300211978,-0.13918115023203453
2.3000000000000016,0.0,-2.632716722123135,-0.09266595290250645,-129.7005248294794,171.02632867453312,2.1744270602656592,4.805181609528933,-0.24949586929166734,-0.1826529587308408
2.4000000000000017,0.0,-0.5565628762314674,-0.08532819008645136,-129.94774992847252,171.43582670567875,2.1570992422514714,4.750558203112415,-0.24609141416933897,-0.16969733130641398
2.5000000000000018,0.0,-1.7276344248993212,-0.07759087862299113,-130.18365863339687,171.83956501742864,2.141475223861478,4.588559463257399,-0.21883790327927055,-0.14879446487022566
2.600000000000002,0.0,-0.43164450605919313,-0.07085020974796662,-130.4104206253186,172.23660378120886,2.127529624881129,4.5475696580844245,-0.1933495492465493,-0.13455664119712787
2.700000000000002,0.0,-0.10372606467539924,-0.09987505584998721,-130.62896977784106,172.63505023643478,2.1119929957102506,4.530370350703893,-0.25368750538552476,-0.18168613138638
2.800000000000002,0.0,0.03386839436885225,-0.09267233882851192,-130.83673871443997,173.03864581781033,2.094333939617865,4.533825271467035,-0.25943940761626216,-0.1749914022453267
2.900000000000002,0.0,-0.3637133717362815,-0.0847138120508153,-131.03783869274724,173.4439926865405,2.0778823739059824,4.501515948022644,-0.23684429792059858,-0.1598861401815752
3.000000000000002,0.0,-0.10523878418115373,-0.07753985859074548,-131.23381171693197,173.84939360416456,2.0628323593476163,4.492861028277243,-0.209823303823802,-0.14607311090360606
3.1000000000000023,0.0,-0.03599942621794838,-0.07124697765580464,-131.42579524022318,174.25596185256794,2.049090789168503,4.490373823902422,-0.18984274055248557,-0.13349528525491602
3.2000000000000024,0.0,-0.01610179121937705,-0.10091884324100772,-131.61009268553494,174.66557696830475,2.033613932852649,4.481537512858759,-0.25683473230546755,-0.18226068608607499
3.3000000000000025,0.0,0.5369462971299228,-0.09392944533715937,-131.78400259605883,175.0821991962228,2.0157584624874394,4.532826725533912,-0.26606935595721753,-0.17807925536382763
3.4000000000000026,0.0,0.1266325957287009,-0.08608607531999334,-131.95295497512666,175.50442319373852,1.998954482888896,4.54750983842399,-0.24282278383761857,-0.1638168506203088
3.5000000000000027,0.0,0.009167692608080813,-0.07895404856064431,-132.1178681302269,175.9290017020611,1.983491478348349,4.550087216641341,-0.21514171953100694,-0.1502813835302477
3.6000000000000028,0.0,-0.011451333130729324,-0.10891179564261473,-132.27504637365286,176.35625134566214,1.966453112048155,4.5410857482217875,-0.2753417988656602,-0.19826380582909392
3.700000000000003,0.0,0.06056041422569791,-0.10115441250261836,-132.4199817779219,176.78782392600766,1.947068097282023,4.546980558789402,-0.2834990028931718,-0.19184831423621845
3.800000000000003,0.0,0.44972272968478677,-0.09257652179520834,-132.55847578880497,177.2241534304084,1.9288258333585968,4.592040063329176,-0.26365813848260417,-0.17814289501597622
3.900000000000003,0.0,0.08924669336659719,-0.08476359007429837,-132.69269256375551,177.66461425867303,1.9120214805992457,4.6028151899537235,-0.2348422098189927,-0.1631930372853448
4.000000000000003,0.0,0.003045680370213688,-0.11460742440914987,-132.81848262914832,178.10777176806866,1.8936119339398891,4.59481293544156,-0.2945244261586321,-0.21131476304735355
4.100000000000002,0.0,0.06706371646752274,-0.10614887774694262,-132.9313613722906,178.55450742617117,1.873000414891333,4.601521912269557,-0.2997087625994334,-0.20369953750651304
4.200000000000002,0.0,0.43380030184354723,-0.0969469634796018,-133.03701310657553,179.0055555540214,1.853630270849711,4.645316328949818,-0.27795202499039845,-0.18861184706538264
4.300000000000002,0.0,0.08344496840145865,-0.08857752419647029,-133.13766947268525,179.46038553130498,1.8358417953479924,4.655760240328609,-0.24752077627820246,-0.17233745912327944
4.400000000000001,0.0,-0.00010632262887355637,-0.08120230967248143,-133.23339258741032,179.9167174020964,1.8195810301477844,4.657215607645363,-0.22355649105993758,-0.1575070834132518
4.500000000000001,0.0,-0.011749261162904645,-0.11070834217901955,-133.3199047904749,180.3745940703073,1.8017023049953296,4.64786996280005,-0.2895305022171771,-0.2064754786480656
4.6000000000000005,0.0,0.47405949759959753,-0.10271556977464542,-133.3932049829346,180.83677848472735,1.7814158247504066,4.693180888857433,-0.29855091528298855,-0.2014330943716699
4.7,0.0,0.1115720891405374,-0.09390834257574417,-133.45908814703355,181.303059558354,1.7623631249401748,4.706831188674239,-0.272953157858109,-0.18518636044742273
4.8,0.0,0.0023696906060877154,-0.08592185545636832,-133.51954167377176,181.77069941901897,1.7448875822384073,4.7091795173331095,-0.24146410716439476,-0.1692466460144738
4.8999999999999995,0.0,-0.016416938664875147,-0.11503557190553115,-133.57078856968315,182.23911676205103,1.7258672497118577,4.699104822404268,-0.30111980982442843,-0.21711233881296502
4.999999999999999,0.0,0.06418062076585329,-0.10648164523924733,-133.608215091869,182.70884044970643,1.704718574689533,4.705567236872505,-0.3064542500844621,-0.20871954718300736
5.099999999999999,0.0,0.416089305019959,-0.09724996937232888,-133.63734696942166,183.18154578943387,1.6848790831152234,4.747744288259207,-0.28431216620747785,-0.19317714839408343
5.199999999999998,0.0,0.07867289392634547,-0.08887969268905148,-133.66055010278754,183.65705412562883,1.666648202030053,4.757787515934342,-0.2529615938805303,-0.17646942281408892
5.299999999999998,0.0,-0.001672927474736241,-0.11746877347494201,-133.67419104784972,184.133055675508,1.6469137502953828,4.749068769386265,-0.311166200939659,-0.2239683419972355
5.399999999999998,0.0,0.06807704490987732,-0.10852820062600103,-133.6736705300187,184.60933407936437,1.6250762933421619,4.755955376827582,-0.31502945365666146,-0.2152129348953381
5.499999999999997,0.0,0.4174445853793429,-0.09893081520917715,-133.66436593043787,185.0879367236393,1.6046151574851586,4.798393094571771,-0.291629156984265,-0.19875781408354712
5.599999999999997,0.0,0.07794284342583069,-0.09024117100862937,-133.648668543953,185.56885345264322,1.5858602296836266,4.808505417707356,-0.2592481349319766,-0.1810876640295149
5.699999999999997,0.0,-0.002955741658851707,-0.11804617866234193,-133.62310903061226,186.0494564675353,1.5656368841110684,4.799617575034471,-0.317024480758297,-0.22821618375006422
5.799999999999996,0.0,0.06814699972422744,-0.10882167228243132,-133.58332020078822,186.52917772553852,1.5434776994173884,4.806748150039,-0.318576275024662,-0.21800898103626862
