t,agent_id,accel,steering,x,y,v,yaw
0.10000000000000007,0.0,-3.5,-0.036712235682019735,-116.32754600120396,158.41047289343717,12.14741225063307,2.6031488707006383
0.20000000000000015,0.0,-3.5,-0.03552795938157667,-117.34624613151006,159.04044093424974,11.807161564440543,2.5911535663818674
0.3000000000000002,0.0,-3.5,-0.04687942635878873,-118.32340978235449,159.6726682527348,11.467632904169268,2.572435739978188
0.4000000000000003,0.0,-3.5,-0.057283803200691354,-119.25597461891459,160.31051112556165,11.125303689383157,2.5476387474559505
0.5000000000000003,0.0,-3.5,-0.0466244996046855,-120.14412880324375,160.95227917146386,10.787010821531577,2.520983729945307
0.6000000000000004,0.0,-3.5,-0.0540832151760417,-120.98946066285635,161.59492459010656,10.448294898389582,2.4952705289750714
0.7000000000000005,0.0,-3.5,-0.0433807924081591,-121.79247578273737,162.2370089072208,10.112775647849006,2.471252645204502
0.8000000000000006,0.0,-3.5,-0.05230314777627683,-122.55460626870331,162.87591511971715,9.77498048346502,2.4490921565145003
0.9000000000000007,0.0,-3.5,-0.04309005513158713,-123.2761840501916,163.51022145932902,9.43674691801604,2.4281458996705902
1.0000000000000007,0.0,-3.5,-0.05431563049666867,-123.95850223156764,164.13750546511577,9.096844854900326,2.407828572778827
1.1000000000000008,0.0,-3.5,-0.04567649359218755,-124.60211722606087,164.7566821516374,8.76107062264319,2.3879784496164267
1.2000000000000008,0.0,-3.5,-0.0597576818112941,-125.20845466629247,165.3656912817183,8.421695448980946,2.3682217832248167
1.300000000000001,0.0,-3.5,-0.05109887238413297,-125.7776096780132,165.9639303203074,8.087124242506558,2.348461346690886
1.400000000000001,0.0,-3.5,-0.06847690986229342,-126.31099628628968,166.5494770876402,7.747379831322116,2.3284452344187816
1.500000000000001,0.0,-3.5,-0.0593961066300525,-126.80810620292004,167.12224994535057,7.413036322052083,2.307909231693513
1.6000000000000012,0.0,-3.5,-0.05064094276846067,-127.27449365534552,167.67727976205734,7.079857684565539,2.290705041219972
1.7000000000000013,0.0,-3.5,-0.07165561634752668,-127.70963298078476,168.21447554539392,6.7396369472964635,2.273301664024406
1.8000000000000014,0.0,-3.5,-0.06391078819276745,-128.11150235475768,168.7350681460136,6.4051052412164164,2.25485898254394
1.9000000000000015,0.0,-3.5,-0.05612581663102541,-128.48531883525092,169.2349968973871,6.072025599020991,2.239160628392237
2.0000000000000013,0.0,-3.5,-0.08042452019699436,-128.83040041362779,169.71429372598132,5.731427496434787,2.222748067337634
2.1000000000000014,0.0,-3.5,-0.07306451299836357,-129.14505459277763,170.17386611772096,5.397617633716217,2.2052748312809967
2.2000000000000015,0.0,-3.5,-0.06555990161940727,-129.43480776957563,170.60994479660727,5.064700840265392,2.190340964314037
2.3000000000000016,0.0,-2.632716722123135,-0.09266595290250645,-129.7005248294794,171.02632867453312,4.805181609528933,2.1744270602656592
2.4000000000000017,0.0,-0.5565628762314674,-0.08532819008645136,-129.94774992847252,171.43582670567875,4.750558203112415,2.1570992422514714
2.5000000000000018,0.0,-1.7276344248993212,-0.07759087862299113,-130.18365863339687,171.83956501742864,4.588559463257399,2.141475223861478
2.600000000000002,0.0,-0.43164450605919313,-0.07085020974796662,-130.4104206253186,172.23660378120886,4.5475696580844245,2.127529624881129
2.700000000000002,0.0,-0.10372606467539924,-0.09987505584998721,-130.62896977784106,172.63505023643478,4.530370350703893,2.1119929957102506
2.800000000000002,0.0,0.03386839436885225,-0.09267233882851192,-130.83673871443997,173.03864581781033,4.533825271467035,2.094333939617865
2.900000000000002,0.0,-0.3637133717362815,-0.0847138120508153,-131.03783869274724,173.4439926865405,4.501515948022644,2.0778823739059824
3.000000000000002,0.0,-0.10523878418115373,-0.07753985859074548,-131.23381171693197,173.84939360416456,4.492861028277243,2.0628323593476163
3.1000000000000023,0.0,-0.03599942621794838,-0.07124697765580464,-131.42579524022318,174.25596185256794,4.490373823902422,2.049090789168503
3.2000000000000024,0.0,-0.01610179121937705,-0.10091884324100772,-131.61009268553494,174.66557696830475,4.481537512858759,2.033613932852649
3.3000000000000025,0.0,0.5369462971299228,-0.09392944533715937,-131.78400259605883,175.0821991962228,4.532826725533912,2.0157584624874394
3.4000000000000026,0.0,0.1266325957287009,-0.08608607531999334,-131.95295497512666,175.50442319373852,4.54750983842399,1.998954482888896
3.5000000000000027,0.0,0.009167692608080813,-0.07895404856064431,-132.1178681302269,175.9290017020611,4.550087216641341,1.983491478348349
3.6000000000000028,0.0,-0.011451333130729324,-0.10891179564261473,-132.27504637365286,176.35625134566214,4.5410857482217875,1.966453112048155
3.700000000000003,0.0,0.06056041422569791,-0.10115441250261836,-132.4199817779219,176.78782392600766,4.546980558789402,1.947068097282023
3.800000000000003,0.0,0.44972272968478677,-0.09257652179520834,-132.55847578880497,177.2241534304084,4.592040063329176,1.9288258333585968
3.900000000000003,0.0,0.08924669336659719,-0.08476359007429837,-132.69269256375551,177.66461425867303,4.6028151899537235,1.9120214805992457
4.000000000000003,0.0,0.003045680370213688,-0.11460742440914987,-132.81848262914832,178.10777176806866,4.59481293544156,1.8936119339398891
4.100000000000002,0.0,0.06706371646752274,-0.10614887774694262,-132.9313613722906,178.55450742617117,4.601521912269557,1.873000414891333
4.200000000000002,0.0,0.43380030184354723,-0.0969469634796018,-133.03701310657553,179.0055555540214,4.645316328949818,1.853630270849711
4.300000000000002,0.0,0.08344496840145865,-0.08857752419647029,-133.13766947268525,179.46038553130498,4.655760240328609,1.8358417953479924
4.400000000000001,0.0,-0.00010632262887355637,-0.08120230967248143,-133.23339258741032,179.9167174020964,4.657215607645363,1.8195810301477844
4.500000000000001,0.0,-0.011749261162904645,-0.11070834217901955,-133.3199047904749,180.3745940703073,4.64786996280005,1.8017023049953296
4.6000000000000005,0.0,0.47405949759959753,-0.10271556977464542,-133.3932049829346,180.83677848472735,4.693180888857433,1.7814158247504066
4.7,0.0,0.1115720891405374,-0.09390834257574417,-133.45908814703355,181.303059558354,4.706831188674239,1.7623631249401748
4.8,0.0,0.0023696906060877154,-0.08592185545636832,-133.51954167377176,181.77069941901897,4.7091795173331095,1.7448875822384073
4.8999999999999995,0.0,-0.016416938664875147,-0.11503557190553115,-133.57078856968315,182.23911676205103,4.699104822404268,1.7258672497118577
4.999999999999999,0.0,0.06418062076585329,-0.10648164523924733,-133.608215091869,182.70884044970643,4.705567236872505,1.704718574689533
5.099999999999999,0.0,0.416089305019959,-0.09724996937232888,-133.63734696942166,183.18154578943387,4.747744288259207,1.6848790831152234
5.199999999999998,0.0,0.07867289392634547,-0.08887969268905148,-133.66055010278754,183.65705412562883,4.757787515934342,1.666648202030053
5.299999999999998,0.0,-0.001672927474736241,-0.11746877347494201,-133.67419104784972,184.133055675508,4.749068769386265,1.6469137502953828
5.399999999999998,0.0,0.06807704490987732,-0.10852820062600103,-133.6736705300187,184.60933407936437,4.755955376827582,1.6250762933421619
5.499999999999997,0.0,0.4174445853793429,-0.09893081520917715,-133.66436593043787,185.0879367236393,4.798393094571771,1.6046151574851586
5.599999999999997,0.0,0.07794284342583069,-0.09024117100862937,-133.648668543953,185.56885345264322,4.808505417707356,1.5858602296836266
5.699999999999997,0.0,-0.002955741658851707,-0.11804617866234193,-133.62310903061226,186.0494564675353,4.799617575034471,1.5656368841110684
5.799999999999996,0.0,0.06814699972422744,-0.10882167228243132,-133.58332020078822,186.52917772553852,4.806748150039,1.5434776994173884
5.899999999999996,0.0,0.42018479968800193,-0.09901690380693716,-133.53449943494846,187.010507130794,4.849523087846194,1.5227836114431623
5.999999999999996,0.0,0.07798529723044823,-0.0901713481104288,-133.4789666722068,187.49361774040918,4.859650222518831,1.503828065517096
6.099999999999995,0.0,-0.0030317801506498654,-0.11708126241111659,-133.4134620068131,187.97558834253496,4.850914688020512,1.4834284887231728
6.199999999999995,0.0,0.06685249583590291,-0.1077168107194748,-133.3338719006414,188.455526682682,4.858032910551329,1.4612278022858778
6.2999999999999945,0.0,0.42568111558937005,-0.09783362739210337,-133.24508023081967,188.93633864131328,4.901373429761507,1.4405244455005342
6.399999999999994,0.0,0.07895696190794865,-0.08893344320533056,-133.14945375043925,189.41841372161915,4.911584372913623,1.421625614922212
6.499999999999994,0.0,-0.002730583308981238,-0.08115509638163204,-133.04804097364948,189.89971409484073,4.912931062453228,1.4044392201198517
6.599999999999993,0.0,-0.013504099625819777,-0.10692855618932443,-132.93687673880518,190.3785398673441,4.903885946764861,1.3857235009157218
6.699999999999993,0.0,0.49481242588111485,-0.09861746619450702,-132.8117693579488,190.85608747864066,4.951594929954839,1.365097052946123
6.799999999999993,0.0,0.11314056036128761,-0.0897470693380258,-132.6778148964321,191.33440478520313,4.965395670164151,1.3458463397433
6.899999999999992,0.0,0.0027346386867961314,-0.08178082295950279,-132.53791191419083,191.81167003285205,4.967750984042266,1.3282669377197445
6.999999999999992,0.0,-0.016107872338125162,-0.10671347622742887,-132.3888490983998,192.28583474625162,4.95857903809495,1.3091982696320779
7.099999999999992,0.0,0.5097544952404007,-0.09823261338880751,-132.22614194559236,192.75775663130898,5.007598043677423,1.2883906810840322
7.199999999999991,0.0,0.11760245058061258,-0.08928170789364033,-132.05429545618932,193.22977969089203,5.021783932104106,1.269062065681193
7.299999999999991,0.0,0.004115343167150343,-0.08127727761981146,-131.87630810653252,193.70023236484323,5.024314512469964,1.251421243546873
7.399999999999991,0.0,-0.016129299759711557,-0.10534720710909723,-131.68934089768922,194.16687892256866,5.015407661110083,1.2323106245514284
7.49999999999999,0.0,0.5257919111193345,-0.09683519178684233,-131.48902246978585,194.63037264859344,5.065998421387818,1.2115480797328941
7.59999999999999,0.0,0.12106582889744999,-0.08790039767952557,-131.27949057247955,195.0933278632028,5.080424912481261,1.1922575785641587
7.6999999999999895,0.0,0.005653900149908964,-0.07991588537243417,-131.0638329416187,195.5542207868653,5.083075439967532,1.1746677423427185
7.799999999999989,0.0,-0.015550319740256668,-0.10304858093252661,-130.83944021517885,196.01062368754145,5.074566184381754,1.1556384014727938
7.899999999999989,0.0,0.5472441249459692,-0.09457352844478668,-130.60205722516562,196.4630483941404,5.12723374763746,1.1350784004292145
7.9999999999999885,0.0,0.12590361890032398,-0.08573411412080865,-130.3555416712347,196.9143951292583,5.142097677952353,1.11603187905244
8.099999999999989,0.0,0.0069921763811819915,-0.0778654813738631,-130.1030951402021,197.36327286035387,5.144836151678884,1.0987083570568654
8.199999999999989,0.0,-0.014915613431071506,-0.1000485763633848,-129.8423186404942,197.80707066053716,5.136709906979038,1.0799808617172757
8.299999999999988,0.0,0.5775491441676905,-0.09172478777184309,-129.56893683324842,198.24615410994798,5.192223970663469,1.0597856643043455
8.399999999999988,0.0,0.1334366346922451,-0.08306781493394401,-129.2864560445539,198.68365826117463,5.2077805827977235,1.0410855245731363
8.499999999999988,0.0,0.00898373761820892,-0.10451501476537968,-128.99485964666565,199.11574972117424,5.202148719642029,1.0209823309201225
8.599999999999987,0.0,0.05403864286376603,-0.09521247874194963,-128.69239801316039,199.5405010539169,5.20871144506528,0.9997517507441659
8.699999999999987,0.0,0.5548500394777633,-0.08574575769361496,-128.38136459133887,199.96269183497955,5.2636920675568115,0.9802046722315306
8.799999999999986,0.0,0.11500505954550988,-0.07738145024220788,-128.06296074020494,200.38350507485762,5.277036055957279,0.9625042281766384
8.899999999999986,0.0,0.008253152341772818,-0.09786288173598848,-127.73617624307082,200.79834442912713,5.271586207322522,0.9434772099955396
8.999999999999986,0.0,0.05185194141982663,-0.0891109942918552,-127.39910768888268,201.20509204921115,5.277719271629992,0.9234023227531614
9.099999999999985,0.0,0.5829674269600673,-0.08020336373882259,-127.05365350413263,201.60881277318632,5.335294598927197,0.9048740996291208
9.199999999999985,0.0,0.12236480858242516,-0.07231889746135184,-126.70114465786301,202.01101795718807,5.349209563519809,0.8880708417571187
